ID,Codice,Prodotto,Data_prod,Mix,Stabilimento,Danno,Data_Fatt,Fattura,Data_rec,Cod_cliente,Stamp,Provincia,Regione,Posa,Area,Linea_Gronda,Altitudine,Coordinate,latitudine,longitudine
W144020,BT01,tegola_opera_ardesia,2015-12-17,Q21,ILCA,Sfaldatura,2016-03-19,VI33523,2020-03-16,34490,ND,TV,VENETO,ND,150.0,aperta,42,"45.6796, 11.9111",45.6796,11.9111
W145020,IU01GW,unicoppo_extra_winter_ardesia,2017-10-20,IM4B6,ILCA,Sfaldatura,1970-01-01,ND,2020-06-11,1570,ND,ND,ND,guaina,300.0,ND,2,"45.5051, 12.2885",45.5051,12.2885
X001021,EU01GW,unicoppo_extra_winter_serenissima,2016-09-14,IM4B6,ILCA,Sfaldatura,1970-01-01,ND,2021-01-08,ND,ND,VI,VENETO,ND,192.0,aperta,44,"45.4586, 11.4703",45.4586,11.4703
X022021,SM01W,teg_maxima_serenisswinter_168,2010-01-01,ND,ILCA,Sfaldatura,2010-07-31,VI5532,2021-03-17,44840,ND,GE,LIGURIA,ND,397.0,aperta,20,"44.6082, 9.0082",44.6082,9.0082
X036021,SZ01W,tesi_serenissima_winter,2018-05-22,IM4B6,ILCA,Sfaldatura,2019-09-20,VI49534,2021-04-19,ND,ND,BL,VENETO,guaina,141.0,aperta,479,"46.08146433494452, 12.035286839109695",46.08146433494452,12.035286839109695
X039021,AU01GW,unicoppo_extra_winter_veneto_antico,2010-08-14,ND,ILCA,Sfaldatura,2010-08-31,ND,2021-04-28,115750,ND,BL,VENETO,guaina,270.0,aperta,325,"46.0152, 11.8917",46.0152,11.8917
X053021,PW01,tegole_temax_antica_possagno,2015-11-20,IM4B6,ILCA,Sfaldatura,1970-01-01,ND,2021-05-20,502ND,ND,BG,LOMBARDIA,ND,ND,aperta,342,"45.7581, 9.8155",45.7581,9.8155
X054021,RM01W,teg_maxima_rossa_winter_168,2015-12-30,IM4B6,ILCA,Sfaldatura,ND,VI32648,2021-05-25,145740,D201215,BI,PIEMONTE,legno,589.0,aperta,420,ND,ND,ND
X061021,IU01G,unicoppo_extra_ardesia,2013-06-01,N35,ILCA,Sfaldatura,2013-09-30,ND,2021-03-13,90740,ND,TP,PIEMONTE,ND,ND,ND,197,"45.21574962970542, 7.971806961965173",45.21574962970542,7.971806961965173
X068021,FU01GW,unicoppo_extra_winter_francia,2016-11-03,IM4B6,ILCA,Sfaldatura,1970-01-01,ND,2021-02-04,122830,D031116,RO,VENETO,guaina,300.0,aperta,2,"45.0657, 11.8744",45.0657,11.8744
X069021,BT01,tegola_opera_ardesia,2016-01-01,ND,ILCA,Sfaldatura,2016-03-19,ND,2021-05-24,34490,ND,TV,VENETO,ND,180.0,ND,51,"45.7254, 11.9202",45.7254,11.9202
